ChEBIID	PubMedIDs
37527	12170122,11044231,11044231,11044231,11044231,11044231,9550636,2254779,11063437,11063437,11063437,11063437,11273853,24085409,22357739,22357739,3214459,3214459,20633266,17258374,17258374,11023139,11023139,11023139,11023139,11023139,23493899,23493899,23493899,23493899,23493899,23493899,9625087,9625087,12571671,16469979,16469979,16469979,16469979,16469979,16469979,19406265,21521543,21521543,20045014,20045014,20045014,20045014,20045014,23173177,23173177,23173177,23173177,23173177,14647227,14647227,14647227,14647227,14647227,15755826,15755826,18606902,18606902,18606902,18606902,18606902,18606902,18606902,21984307,21984307,21984307,21984307,21984307,21984307,21984307,10780942,10780942,10780942,8379504,8379504,8379504,8379504,8379504,8379504,8379504,19807166,19807166,19807166,22437553,22437553,23452466,23775014,23775014,23775014,23775014,23775014,3728359,19838922,19838922,19838922,19838922,19838922,19838922,19838922,19838922,19838922,19838922,19838922,12003913,16962297,16962297,16962297,16962297,16962297,16962297,16962297,16962297,16962297,16962297,21947088,20359723,20359723,22990856,22990856,22990856,22990856,22990856,22990856,22990856,22990856,22990856,22990856,22990856,22990856,22990856,21838914,21838914,21838914,21838914,21838914,21838914,12198399,18938777,18938777,1600923,23364022,23364022,23364022,23364022,23364022,23364022,8585694,8585694,8585694,8585694,8585694,8585694,8585694,8585694,1706024,21755327,21755327,21755327,12505289,11761118,9925119,9925119,9925119,22591904,22591904,22591904,22591904,12001981,12001981,12001981,12001981,16483880,7355785,7355785,7355785,7355785,18469252,20335630,11002386,17299490,17299490,17299490,17299490,17299490,17299490,17299490,22699835,22699835,22699835,22699835,22699835,22699835,22699835,22699835,22699835,6983876,17161237,6101930,6101930,9394690,9394690,9394690,9394690,9394690,17671440,12421348,12421348,12421348,12421348,19088785,11916268,11916268,11916268,11916268,11916268,11916268,11916268,11916268,11916268,22043987,22043987,22043987,22043987,22043987,22043987,22043987,9234030,9234030,19782169,19782169,19782169,1527639,1527639,1527639,1527639,1527639,1527639,19196525,19196525,19196525,22402311,22402311,8436092,8436092,11570993,11570993,11570993,11570993,12407914,12407914,8921782,8921782,6864334,12879094,12879094,12879094,21736804,23887855,23887855,23887855,8006520,8006520,8006520,8006520,8006520,8006520,8006520,8006520,8006520,8006520,8006520,8006520,8006520,8006520,8006520,14870827,14870827,14870827,14870827,14870827,14870827,14870827,14870827,14870827,14870827,14870827,14870827,21130894,21130894,21130894
16236	9169165,9169165,9169165,9169165,12170122,12170122,12170122,12170122,12170122,12170122,12170122,12170122,12170122,12170122,26676347,26676347,26676347,26676347,26676347,26676347,26676347,17908159,17908159,17908159,17908159,17908159,17908159,17299464,22859618,2254779,2254779,2254779,2254779,2254779,2254779,2254779,2254779,2254779,11273853,15186955,22922514,22922514,22922514,22922514,22922514,22922514,22922514,22922514,22922514,22922514,22922514,22922514,3947186,3947186,7962322,7962322,18342385,18342385,18342385,7759851,9836715,9836715,9836715,9836715,9836715,9836715,19406265,19054786,19054786,19054786,19054786,19054786,19054786,19054786,19054786,1570817,22146903,22146903,22146903,22146903,22146903,22146903,18383031,18383031,23299375,23299375,23299375,16055129,16055129,16055129,16055129,16055129,10037556,3684977,3684977,3684977,19329378,19329378,16624837,16624837,16624837,16624837,16624837,16624837,16624837,12003913,12003913,12003913,12003913,16962297,12198399,12198399,12198399,12198399,12198399,9786601,9786601,9786601,9786601,9786601,9786601,9786601,9786601,9786601,17980786,17980786,17980786,17980786,17980786,17980786,17980786,12915635,12915635,17091466,22563862,22563862,22563862,22563862,17921386,17921386,17921386,15685502,15685502,18469252,7847591,7847591,7847591,7847591,7847591,7847591,7847591,12465730,12465730,12465730,18855107,10549992,10549992,10549992,10549992,10549992,10549992,10549992,10798211,9184742,9184742,9184742,10195938,10195938,24064346,24064346,24064346,24064346,24064346,24064346,24064346,24064346,24064346,24064346,11570993,11570993,18674555,18674555,18674555,18674555,18674555,16126558,16126558,16126558,16126558,16126558,16126558,16126558,16126558,16126558,16126558,16126558,16126558,16126558,16126558,16126558,16126558,16126558,8921782,8921782,9884134,9884134,9884134,9884134,9884134,23692391,23692391,23692391,23692391,23692391,23692391,23692391,23692391,23692391,15003961,22577089,22577089,22577089,22577089,22577089,22577089,22577089,22577089,22577089,22577089,22577089,22577089,22577089,22577089,22577089,22577089,22577089,22577089,6746851,6746851,1755523,1755523,1755523,1755523,1755523,1755523,1755523,1755523,1755523,1755523,1755523,14870827,14870827,14870827,2165094
16113	17622289,17622289,17622289,11063437,11273853,11273853,11273853,3947186,22166897,22166897,22166897,22166897,22166897,22420611,3214459,3214459,3214459,23758041,23758041,23758041,23758041,3675704,3675704,3675704,3675704,3675704,3675704,3675704,3675704,3675704,3675704,3675704,3675704,3675704,3675704,3675704,3675704,3675704,11023139,11023139,9625087,9625087,9625087,9625087,9625087,9625087,9625087,16469979,14647227,14647227,14647227,21229009,21229009,21229009,21229009,21229009,14580860,1570817,1570817,1570817,1570817,1570817,1570817,1570817,7767243,7767243,7767243,7767243,7767243,7767243,19828690,8379504,17374661,17374661,17374661,17374661,17374661,17374661,17374661,17374661,3728359,8563221,8563221,3655625,3655625,10037556,10037556,10037556,10037556,10037556,10037556,10037556,10037556,3684977,3684977,3684977,3684977,3684977,19748245,19748245,20359723,20359723,22257370,22257370,2304504,2304504,2304504,2304504,2304504,2304504,2304504,15623835,15623835,18929595,18929595,18929595,18929595,17510462,17921432,17921432,17921432,17921432,17921432,17921432,8585694,8585694,8585694,21755327,9925119,9925119,9925119,16483880,16483880,69101,69101,69101,21673483,20335630,20335630,6983876,6983876,6983876,12465730,12465730,12465730,12465730,12465730,12465730,12465730,3179835,3179835,3179835,3179835,3179835,3179835,12421348,12421348,12421348,19828688,19828688,9234030,9234030,9234030,1527639,1527639,1527639,8436092,8436092,8436092,21128828,21128828,23482652,23482652,23482652,23482652,23482652,23482652,23482652,23482652,23482652,8921782,17161227,17161227,9845229,9845229,9845229,17142523,17142523,17142523,18400724,18400724,18400724,18400724,18400724,18400724,18400724,18400724,18400724,21736804,9126539,8006520,8006520,8006520,8006520,8006520,8006520,8988942,8988942,8988942,8988942,8988942,8988942,8988942,8988942,8988942,8988942,8988942,8988942,8988942,8988942,22507619,22507619,22507619,22507619,23392875,23392875
33290	9169165,9169165,18155994,18155994,18155994,18155994,18155994,18155994,26676347,9550636,22841050,23743666,22963454,22963454,22963454,17258374,21616200,21616200,19672114,7759851,7759851,21776034,23493899,9625087,16469979,19406265,15691625,15691625,21521543,23182389,23182389,19940473,19940473,19940473,19940473,19940473,19940473,14647227,21984307,23861300,23679960,23679960,15333163,15333163,16901602,12094627,19828690,19828690,19828690,19828690,14757379,22437553,16205744,19735348,19735348,24052516,20880683,20880683,2907164,2907164,2907164,2907164,10037556,10037556,12453956,12453956,14528606,8017331,16962297,11043928,11097801,11097801,19748245,19025725,19025725,22990856,22990856,22990856,3443147,3443147,16373947,15321807,22878474,1764701,15230997,15230997,16465196,6306619,6306619,6306619,6306619,6306619,17353586,22434053,21586177,21586177,11145117,17921432,11464259,11464259,24592585,22594919,23287847,18171405,18171405,18171405,18171405,18171405,18171405,18987591,18987591,12001981,10744130,10744130,10744130,18469252,18469252,11002386,11002386,11002386,17299490,22699835,8347746,8347746,8347746,11906579,8319640,8319640,8319640,21527900,17684141,17684141,18855107,18855107,18855107,19088785,22043987,22043987,22043987,22043987,22043987,22043987,22043987,22043987,22043987,9234030,9234030,10798211,21917262,21917262,21917262,21917262,8436092,16710079,24477299,24169462,9457744,20375264,20375264,11360133,15213040,15213040,22470037,19782178,19782178,18400724,18400724,15003961,15003961,15003961,15003961,15003961,12879094,12879094,12879094,12879094,12879094,12701636,23887855,16127237,16127237,16127237,16127237,16127237,12064348,12064348,22507619,14870827,14870827,14870827,20386999,20386999,20386999,20386999,20386999,10511259,10511259,10511259,15992645,11471865,11471865
33229	17951485,17951485,17951485,17951485,17951485,21414247,21414247,21414247,11044231,11044231,11273853,22357739,22357739,22357739,22357739,22357739,22389237,12571671,12571671,12571671,12571671,12571671,12571671,12571671,12571671,12571671,12571671,23182389,23182389,23182389,23182389,22464667,15054442,15054442,15054442,15054442,17577663,17577663,17577663,17577663,20805084,20805084,20805084,20805084,20805084,20805084,16205744,16205744,6695977,6695977,6695977,11160547,11160547,11160547,11160547,11160547,11160547,11160547,11160547,12453956,12453956,12453956,12453956,12453956,12453956,12453956,12453956,17456248,14528606,14528606,14528606,14528606,19025725,19025725,19025725,19025725,19025725,19025725,19025725,19025725,19025725,19025725,19025725,17158438,17158438,17158438,3940928,3940928,18938777,18938777,18938777,18938777,15230997,15230997,15230997,16465196,16465196,16465196,16465196,21586177,21586177,19116317,19116317,19116317,23287847,18171405,18171405,15685502,15685502,8347746,8347746,8347746,8347746,9394690,9394690,9394690,9394690,9394690,9394690,9394690,9394690,9394690,9394690,9394690,9394690,9394690,9394690,9394690,21527900,21527900,21527900,21527900,21527900,24901094,24901094,24901094,24901094,24901094,24901094,24901094,24901094,17684141,17684141,17684141,19088785,24760553,24760553,11570993,11570993,21729475,21729475,21729475,20375264,8063609,12879094,12879094,12879094,12879094,12879094,12701636,12701636,12701636,12701636,12701636,12701636,12701636,12701636,9126539,9126539,9126539,9126539,9126539,21353477,21353477,21353477,21353477
24433	18155994,18155994,17622289,17622289,17622289,17622289,17622289,9550636,17299464,17299464,17299464,17299464,17299464,17299464,3981374,24085409,24085409,22166897,22166897,22420611,22420611,22420611,22420611,22357739,3214459,20633266,23758041,23758041,23758041,23758041,23758041,23758041,23758041,25049524,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,22464667,22464667,22464667,22464667,14647227,14647227,12730404,12730404,12730404,12730404,12730404,12730404,12730404,10780942,10780942,17381951,21861314,23775014,23775014,23775014,23775014,6695977,17456248,17456248,17456248,17456248,19329378,12003913,14756193,21274973,11043928,11043928,19748245,15897583,15897583,21947088,20359723,20359723,20359723,20359723,24347344,24347344,2304504,2304504,2304504,15623835,21867578,21867578,21867578,21867578,23411109,23411109,24655490,24655490,3904334,3904334,3904334,1600923,1600923,1600923,1600923,15054404,15054404,21455057,21455057,19116317,19116317,19116317,19116317,22855341,10744130,10744130,69101,18188415,18188415,21673483,21673483,21673483,21673483,23796695,19093161,26663494,24760553,17927508,17927508,17927508,24574190,24574190,24574190,24574190,24574190,11722962,18674555,21128828,21128828,21128828,21128828,21729475,17161227,17161227,6864334,15003961,8988942,8988942,8988942,8988942,23392875,23392875,23392875,23392875,23392875,21130894,21130894,21130894,21130894
16541	21414247,17622289,17622289,17622289,16762949,9550636,15186955,15186955,22357739,22357739,22357739,19384973,19406265,12730404,12730404,12730404,23679960,23679960,23679960,23679960,23679960,23679960,23679960,23679960,10780942,19807166,19807166,19807166,17374661,15668660,23452466,23452466,23452466,23452466,23452466,23452466,23452466,19735348,19735348,19735348,16055129,18580887,18580887,18580887,18580887,18580887,18580887,18580887,18580887,18580887,18580887,11043928,3443147,3443147,17158438,20847399,16465196,1722997,1722997,1722997,1722997,1722997,17921432,17921432,17921432,17921432,8585694,1706024,1706024,1706024,1706024,1706024,16549461,6685141,6685141,6685141,6685141,6685141,6685141,6685141,6685141,6685141,6685141,24592585,24592585,24592585,24592585,24592585,24592585,24592585,24592585,24592585,24592585,24592585,23287847,18171405,16483880,21673483,17161237,17161237,19093161,6101930,9394690,9394690,9394690,9394690,17671440,3179835,3179835,3179835,23514841,23514841,23514841,23514841,23514841,23514841,23514841,23514841,23514841,23514841,23514841,24901094,19088785,24760553,24760553,19782169,19782169,24064346,18674555,8921782,22347387,22347387,22347387,22347387,22347387,22347387,22347387,22347387,22347387,22347387,22347387,22347387,22347387,22347387,9845229,15213040,15213040,15213040,15213040,15213040,15213040,15213040,19398656,19398656,19398656,19398656,21130894,15992645
35366	11063437,11063437,11063437,24085409,3214459,3214459,20633266,11023139,23493899,23493899,23493899,23493899,9625087,9625087,16469979,19406265,21521543,21521543,14647227,14647227,14647227,15755826,15755826,18606902,18606902,21984307,21984307,8379504,8379504,19807166,19807166,19807166,23775014,23775014,23775014,23775014,3728359,19838922,19838922,19838922,19838922,19838922,19838922,16962297,16962297,16962297,16962297,16962297,16962297,16962297,16962297,20359723,22990856,22990856,22990856,22990856,22990856,22990856,22990856,22990856,22990856,22990856,22990856,21838914,21838914,21838914,18938777,18938777,1600923,8585694,8585694,8585694,21755327,9925119,9925119,22591904,22591904,16483880,7355785,7355785,7355785,7355785,11002386,17299490,17299490,17299490,17299490,17299490,22699835,22699835,22699835,22699835,22699835,6983876,17671440,12421348,19088785,11916268,11916268,11916268,11916268,11916268,11916268,22043987,22043987,9234030,9234030,19782169,19782169,19782169,1527639,1527639,1527639,19196525,8436092,8436092,11570993,11570993,8921782,8921782,21736804,23887855,23887855,23887855,8006520,8006520,8006520,8006520,14870827,14870827,14870827,14870827,14870827,14870827,14870827,14870827,14870827,21130894
18059	17622289,17622289,22859618,22166897,3214459,7962322,23493899,14647227,14580860,14580860,24500922,24500922,24500922,24500922,24500922,24500922,24500922,19807166,18383031,18383031,3728359,3728359,8563221,8563221,8563221,3655625,3655625,10037556,10037556,10037556,14528606,16962297,20136444,3443147,3443147,22257370,22257370,22257370,22257370,18418556,2304504,2304504,2304504,21838914,21838914,20938914,20938914,20938914,20938914,20938914,15321807,15321807,15321807,21586177,8585694,8585694,8585694,8585694,8585694,16549461,21755327,21755327,21755327,22855341,9925119,9925119,22591904,16483880,69101,18188415,7355785,20335630,20335630,11002386,11002386,6983876,6983876,19828688,19828688,19828688,19828688,9234030,9234030,9234030,1527639,1527639,8436092,18674555,21128828,21128828,9845229,9845229,9845229,19782178,19782178,21736804,21736804,8006520,8988942,8988942,8988942,8988942,12921885,12921885,12921885,22507619,22507619,22507619,19398656,21130894
84123	12170122,12170122,11044231,11044231,11044231,11044231,17299464,3981374,3981374,3981374,3981374,7962322,7962322,7962322,7962322,25049524,25049524,25049524,25049524,19787711,9625087,9625087,12571671,12571671,12571671,12571671,19267950,19267950,19054786,19054786,22464667,18606902,9846591,17381951,15668660,15668660,23636239,23636239,23636239,24052516,8563221,8563221,8563221,8563221,8563221,8563221,8563221,3684977,17456248,19838922,12585770,23235974,24347344,18418556,21838914,15623835,16373947,16373947,16373947,16373947,18929595,20847399,3949945,23364022,8585694,8585694,19765953,19765953,19116317,15685502,8347746,11916268,19465494,19465494,9234030,22614056,22614056,20461205,20461205,20461205,12407914,20678905,19782178,19782178,6746851,2165094,2165094,15992645,15992645
33284	17951485,11273853,11273853,11273853,15054442,15054442,15054442,18606902,20805084,20805084,20805084,23385969,23385969,17381951,17381951,15668660,15668660,16205744,16205744,16205744,16205744,19735348,19735348,19735348,19735348,24052516,14528606,14528606,14756193,22257370,23939542,23939542,15230997,15230997,16465196,16465196,16465196,1722997,1706024,6685141,18171405,18171405,18171405,18171405,18171405,15685502,15685502,17299490,17299490,17299490,17299490,17671440,23478398,24760553,9234030,21917262,21917262,16710079,16710079,16710079,16710079,16710079,16710079,16710079,11570993,11570993,11570993,11570993,11570993,9457744,21729475,21729475,21729475,21729475,22347387,20375264,20375264,20375264,17161227,20678905,20678905,15003961,12879094,9126539,12921885,21353477,21353477,21353477,20386999
22984	11044231,11044231,11044231,11044231,11044231,11044231,11044231,11044231,11044231,11044231,11044231,9550636,9550636,9550636,9550636,9550636,15136968,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,19672114,7759851,7759851,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,11981061,15054442,6134594,6134594,12163659,12163659,12163659,12163659,12163659,12163659,3940928,3940928,3940928,19765953,19765953,19765953,19765953,19765953,19765953,19765953,19765953,15685502,19093161,19093161,21527900,21527900,21527900,24901094,20461205,20461205,20461205,20461205,20461205
5931	17622289,17622289,11063437,11063437,11063437,11063437,11063437,22420611,22420611,22420611,22420611,22420611,11023139,21521543,21521543,21521543,20403085,20403085,23385969,23385969,23385969,23385969,23385969,19807166,19807166,19807166,19807166,19807166,12453956,19748245,19748245,20359723,20359723,20359723,20359723,24347344,15623835,15623835,23939542,23939542,23939542,23939542,23939542,23939542,23939542,15321807,15321807,17980786,23411109,23411109,23411109,23411109,20847399,20847399,20847399,20847399,6306619,1722997,1722997,1722997,16549461,20980650,20980650,20980650,22855341,16483880,21673483,20335630,20335630,17161237,17161237,17161237,17161237,11237932,8436092,21128828,21736804,21130894,21130894
17234	17908159,17908159,17908159,17908159,17908159,23743666,23743666,22166897,22166897,22166897,22166897,24086269,24086269,22420611,18342385,11023139,23493899,21521543,20403085,20403085,24500922,24500922,23385969,19807166,23775014,24052516,24052516,24052516,24052516,24052516,24052516,24052516,24052516,12453956,19748245,19748245,22426755,23939542,23939542,23939542,15321807,15321807,21867578,21880447,21880447,21880447,16549461,18188415,18188415,21673483,21673483,21673483,21673483,20335630,11002386,11002386,11002386,17161237,17161237,17161237,17161237,17161237,17161237,17161237,22614056,21128828,21128828,17161227,21130894,21130894
26208	11063437,11063437,11063437,11063437,11063437,11063437,23493899,23493899,23493899,9625087,19406265,19406265,19406265,19406265,19406265,15755826,15755826,15755826,15755826,15755826,15755826,15755826,18606902,18606902,19838922,16962297,20359723,18938777,18938777,18938777,1600923,8585694,21755327,21755327,21755327,22591904,22591904,22591904,22591904,22591904,22591904,22591904,15685502,20335630,22699835,22699835,22699835,22699835,22699835,6983876,23796695,23796695,17671440,17671440,17671440,11916268,11916268,11916268,9234030,9234030,11570993,23887855,23887855,23887855,23887855,23887855,23887855,23887855,14870827
18145	9169165,9169165,9169165,9169165,9169165,11273853,11273853,11273853,11273853,11273853,11273853,11273853,11273853,22389237,11160547,11160547,11160547,11160547,11160547,11160547,11160547,12453956,12453956,12453956,12453956,12453956,12453956,12453956,12453956,12453956,12453956,12453956,14528606,14528606,14528606,14528606,14528606,14528606,14528606,14528606,14528606,18938777,15230997,15230997,15230997,15230997,15230997,15230997,15230997,15230997,15230997,15230997,15230997,16465196,16465196,16465196,1600923,23287847,18469252,18469252,11570993,11570993,11570993,11570993,9126539,9126539
27470	17951485,17951485,17951485,12571671,12571671,15668660,15668660,15668660,15668660,15668660,15668660,23673118,23673118,23673118,23673118,23673118,23673118,23673118,23673118,16373947,16373947,16373947,16373947,17921386,17921386,17921386,17921386,17921386,17087956,17087956,17087956,17087956,17087956,17927508,17927508,17927508,17927508,17927508,17927508,17927508,17927508,17927508,17927508,24169462,24169462,24169462,24169462,24169462,24169462,24169462,12701636,12701636,12701636,12701636,12701636,12064348,12064348,12064348,12064348,12064348,12064348,12064348,12064348,12064348,12064348
6495	17622289,17622289,22166897,22166897,3214459,3214459,11023139,23493899,14580860,17374661,8563221,3655625,3655625,10037556,10037556,10037556,10037556,10037556,3684977,3684977,3684977,3684977,3684977,3684977,20136444,20359723,22257370,2304504,2304504,21867578,24133617,16483880,16483880,21673483,11002386,11002386,11002386,6983876,6983876,3179835,22412070,22412070,15671684,24574190,24574190,24574190,24574190,8436092,8436092,17161227,17161227,9845229,9845229,17142523,17142523,17142523,17142523,17142523,17142523,17142523,8006520,8006520,21130894
17855	17622289,11063437,11063437,11063437,22420611,14580860,24500922,19828690,19807166,19807166,15668660,23299375,6467897,6467897,6467897,6467897,6467897,3728359,10037556,19748245,22426755,2304504,15623835,18929595,18929595,15321807,15321807,15321807,21586177,8585694,21755327,12001981,12001981,16483880,16483880,16483880,69101,69101,21673483,6983876,12465730,12465730,12465730,12465730,15671684,15671684,19088785,19828688,11237932,11237932,11237932,11237932,11237932,11237932,11237932,1527639,8436092,21128828,17161227,8988942,8988942,8988942
58972	26676347,17299464,22841050,20633266,20633266,25049524,25049524,21616200,21616200,21616200,21616200,3675704,12571671,17707887,20459623,20459623,21527577,21770373,14580860,20579405,19828690,14757379,6467897,6695977,10037556,11097801,2304504,21838914,15623835,9786601,22878474,23411109,24655490,3949945,1600923,1600923,24133617,21586177,21586177,21455057,11464259,19116317,18171405,12001981,19093161,6101930,6101930,8248387,24901094,1527639,24574190,20678905,9126539,8006520,1755523,1755523,19398656,20386999,19023680,19023680
27363	24464602,24464602,24464602,24464602,24464602,3981374,3981374,23743666,23743666,23743666,23743666,23743666,22171008,22171008,22171008,22171008,22171008,22171008,22171008,22171008,22171008,22171008,22171008,22171008,22171008,22171008,22171008,22171008,18418556,18418556,24133617,24133617,24133617,24133617,24133617,24133617,24133617,24133617,24133617,24133617,24133617,23016120,23016120,23016120,23016120,23016120,23016120,23016120,23016120,23016120,23016120,23016120,6685141,6685141,6685141,6685141
23044	9169165,9169165,9169165,9169165,9169165,9169165,17951485,17951485,20805084,20805084,20805084,20805084,20805084,20805084,17381951,1764701,1764701,22434053,22434053,22434053,22434053,22434053,22434053,22434053,22760559,22760559,22760559,22760559,22760559,22760559,22760559,22760559,19116317,19116317,19116317,23287847,17299490,8347746,8347746,8347746,11722962,11722962,11722962,11722962,21729475,21729475,16127237,16127237,16127237,16127237,16127237,16127237,16127237,16127237,9126539
26708	22841050,25049524,25049524,25049524,25049524,25049524,17925592,17925592,17925592,7759851,7759851,7759851,7759851,7759851,7759851,7759851,7759851,23493899,23493899,20045014,20045014,17586409,17586409,17586409,17586409,17586409,17586409,17586409,11318226,11318226,3904334,3904334,3904334,3904334,3904334,3904334,3949945,3949945,3949945,24133617,1706024,1706024,11464259,11464259,11464259,15685502,22402311,12037693,20461205,20461205,20461205,20461205,8921782,8921782
39026	17622289,22166897,22166897,22166897,3214459,23758041,23758041,23758041,23758041,23758041,11023139,14647227,19828690,17374661,17374661,10037556,10037556,10037556,10037556,20136444,2304504,15623835,15623835,15623835,15623835,18929595,16483880,21673483,20335630,11002386,11002386,15671684,15671684,24574190,24574190,17161227,9845229,17142523,17142523,17142523,17142523,17142523,17142523,17142523,18400724,18400724,18400724,8006520,8006520,8006520,8988942,8988942,8988942
17579	9169165,9169165,9169165,11273853,11273853,11273853,11273853,11273853,11273853,11273853,19940473,19940473,19940473,19940473,19940473,19940473,19940473,19940473,19940473,19940473,19940473,19940473,19940473,7767243,7767243,7767243,7767243,7767243,7767243,7767243,7767243,17381951,1764701,1764701,1764701,1764701,1764701,11722962,11722962,11722962,11722962,11570993,11570993,11570993,12879094,12879094,12879094,9126539
22586	21414247,21414247,21414247,22859618,22859618,11273853,25049524,22464667,22464667,22464667,22464667,22464667,20136444,20136444,20136444,20136444,17158438,17158438,17158438,18938777,21867578,21867578,21586177,21586177,21755327,21755327,21755327,21755327,23287847,23287847,23287847,23287847,23287847,23287847,23287847,18469252,18469252,18469252,18469252,19088785,12879094,12879094,12879094,21353477,21353477,21353477
39025	17622289,11063437,22166897,22166897,22166897,3214459,23758041,23758041,23758041,9625087,9625087,9625087,9625087,9625087,14580860,17374661,17374661,10037556,10037556,10037556,3684977,3684977,3684977,3684977,20359723,22257370,22257370,22257370,2304504,15623835,15623835,24133617,21755327,9925119,9925119,16483880,11002386,11002386,19828688,11237932,17161227,9845229,8006520,8988942,8988942,8988942
47774	17622289,23758041,11023139,14647227,14647227,14647227,14647227,19828690,19828690,19828690,19828690,3655625,10037556,10037556,10037556,2304504,15623835,15623835,15623835,16483880,20335630,6983876,6983876,6983876,8436092,8436092,8436092,8436092,17161227,17161227,17161227,17161227,17161227,17161227,9845229,9845229,17142523,18400724,18400724,18400724,8006520,8006520,8988942,8988942,22507619,22507619
59163	17951485,17951485,17299464,24086269,22357739,21616200,21616200,23493899,22464667,23679960,22406837,22437553,22146903,18383031,20880683,22171008,22171008,19025725,22990856,22990856,22434053,22434053,22434053,21586177,15054404,19116317,19116317,23899213,17684141,17684141,18855107,21917262,24477299,24477299,12407914,15213040,15213040,15764338,15764338,23692391,23692391,23692391,10511259,10511259
30780	26676347,17925592,20403085,10780942,1570817,1570817,7767243,7767243,6467897,16055129,3728359,10037556,22171008,3684977,11160547,19025725,18929595,9786601,9786601,3949945,6306619,6306619,19765953,19765953,10744130,11906579,12465730,3179835,23899213,15671684,19088785,17927508,24477299,18674555,16126558,20375264,12701636,16127237,20386999,23392875
47775	17622289,11063437,23758041,9625087,9625087,9625087,9625087,9625087,14647227,14580860,3728359,3728359,10037556,10037556,3684977,3684977,19748245,19748245,20359723,20359723,20359723,20359723,22257370,2304504,15623835,15623835,9925119,16483880,19828688,19828688,19828688,17161227,17161227,17161227,9845229,22507619,22507619,22507619
